İL,İL_KATEGORİSİ,KATEGORİ_GRUP,KATEGORİ_KATSAYI,NÜFUS,TOPLAM_PUAN,TOPLAM_KATSAYI,UYELIK_HAM_PUAN,UYELIK_FINAL_PUAN,UYELIK_AGIRLIK,DANISMA_HAM_PUAN,DANISMA_FINAL_PUAN,DANISMA_AGIRLIK,RAMAZAN_HAM_PUAN,RAMAZAN_FINAL_PUAN,RAMAZAN_AGIRLIK,BAYRAK_HAM_PUAN,BAYRAK_FINAL_PUAN,BAYRAK_AGIRLIK,GENEL_SIRALAMA
DÜZCE,Küçük İl,Küçük İl,1.3,405131,29.34,10.0,0.0,0.0,40.0,24.0,24.0,30.0,5.3,5.34,20.0,0,0,10.0,54
KASTAMONU,Küçük İl,Küçük İl,1.3,378115,29.04,10.0,3.0,3.0,40.0,17.5,17.5,30.0,8.5,8.54,20.0,0,0,10.0,55
BALIKESİR,Orta İl,Orta İl,1.15,1276096,28.9,10.0,7.0,7.0,40.0,15.9,15.9,30.0,6.0,6.0,20.0,0,0,10.0,56
ARTVİN,Küçük İl,Küçük İl,1.3,169280,28.12,10.0,3.0,3.0,40.0,19.5,19.5,30.0,5.6,5.62,20.0,0,0,10.0,57
NİĞDE,Küçük İl,Küçük İl,1.3,365419,27.86,10.0,0.0,0.0,40.0,22.0,22.0,30.0,5.9,5.86,20.0,0,0,10.0,58
ESKİŞEHİR,Orta İl,Orta İl,1.15,906617,27.37,10.0,3.0,3.0,40.0,18.9,18.9,30.0,5.5,5.47,20.0,0,0,10.0,59
ZONGULDAK,Orta İl,Orta İl,1.15,588510,27.11,10.0,0.0,0.0,40.0,20.4,20.4,30.0,6.7,6.71,20.0,0,0,10.0,60
BARTIN,Küçük İl,Küçük İl,1.3,206715,27.04,10.0,0.0,0.0,40.0,20.5,20.5,30.0,6.5,6.54,20.0,0,0,10.0,61
AFYONKARAHİSAR,Orta İl,Orta İl,1.15,750193,26.21,10.0,0.0,0.0,40.0,18.9,18.9,30.0,7.3,7.31,20.0,0,0,10.0,62
İZMİR,Mega İl,Mega İl,1.0,4493242,25.7,10.0,0.0,0.0,40.0,19.5,19.5,30.0,6.2,6.2,20.0,0,0,10.0,63
SİNOP,Küçük İl,Küçük İl,1.3,220799,25.46,10.0,0.0,0.0,40.0,20.5,20.5,30.0,5.0,4.96,20.0,0,0,10.0,64
BAYBURT,Küçük İl,Küçük İl,1.3,83676,24.11,10.0,10.0,10.0,40.0,9.0,9.0,30.0,5.1,5.11,20.0,0,0,10.0,65
MANİSA,Orta İl,Orta İl,1.15,1468279,23.89,10.0,4.0,4.0,40.0,12.0,12.0,30.0,7.9,7.89,20.0,0,0,10.0,66
SAKARYA,Orta İl,Orta İl,1.15,1080080,23.43,10.0,0.0,0.0,40.0,15.9,15.9,30.0,7.5,7.53,20.0,0,0,10.0,67
BOLU,Küçük İl,Küçük İl,1.3,320824,23.13,10.0,0.0,0.0,40.0,17.5,17.5,30.0,5.6,5.63,20.0,0,0,10.0,68
ERZİNCAN,Küçük İl,Küçük İl,1.3,239223,22.92,10.0,0.0,0.0,40.0,17.5,17.5,30.0,5.4,5.42,20.0,0,0,10.0,69
SİVAS,Orta İl,Orta İl,1.15,634924,21.88,10.0,3.0,3.0,40.0,12.9,12.9,30.0,6.0,5.98,20.0,0,0,10.0,70
GÜMÜŞHANE,Küçük İl,Küçük İl,1.3,144544,21.88,10.0,0.0,0.0,40.0,17.5,17.5,30.0,4.4,4.38,20.0,0,0,10.0,71
DENİZLİ,Orta İl,Orta İl,1.15,1056332,21.28,10.0,3.0,3.0,40.0,9.0,9.0,30.0,9.3,9.28,20.0,0,0,10.0,72
BURSA,Mega İl,Mega İl,1.0,3238618,20.79,10.0,1.0,1.0,40.0,15.0,15.0,30.0,4.8,4.79,20.0,0,0,10.0,73
KARABÜK,Küçük İl,Küçük İl,1.3,252058,19.92,10.0,6.0,6.0,40.0,9.0,9.0,30.0,4.9,4.92,20.0,0,0,10.0,74
SAMSUN,Orta İl,Orta İl,1.15,1368488,19.22,10.0,10.0,10.0,40.0,4.5,4.5,30.0,4.7,4.72,20.0,0,0,10.0,75
ÇANAKKALE,Orta İl,Orta İl,1.15,559383,19.16,10.0,3.0,3.0,40.0,9.0,9.0,30.0,7.2,7.16,20.0,0,0,10.0,76
KARS,Küçük İl,Küçük İl,1.3,274829,18.25,10.0,6.0,6.0,40.0,9.0,9.0,30.0,3.2,3.25,20.0,0,0,10.0,77
YOZGAT,Küçük İl,Küçük İl,1.3,418442,15.06,10.0,3.0,3.0,40.0,9.0,9.0,30.0,3.1,3.06,20.0,0,0,10.0,78
ORDU,Orta İl,Orta İl,1.15,763190,14.49,10.0,0.0,0.0,40.0,10.5,10.5,30.0,4.0,3.99,20.0,0,0,10.0,79
TRABZON,Orta İl,Orta İl,1.15,818023,14.09,10.0,0.0,0.0,40.0,9.0,9.0,30.0,5.1,5.09,20.0,0,0,10.0,80
İSTANBUL,Mega İl,Mega İl,1.0,15701602,12.74,10.0,3.0,3.0,40.0,3.0,3.0,30.0,6.7,6.74,20.0,0,0,10.0,81
